,Year,Country,Area,Day Time,Fatal,Type
472,2014,AUSTRALIA,Western Australia,,N,Unprovoked
473,2014,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,Y,Provoked
474,2014,AUSTRALIA,Western Australia,,N,
475,2014,USA,California,,N,
476,2014,USA,Florida,Afternoon,N,Unprovoked
477,2014,USA,Hawaii,Afternoon,N,Unprovoked
478,2014,AUSTRALIA,New South Wales,Morning,N,Unprovoked
479,2014,USA,Florida,Afternoon,N,Unprovoked
480,2014,USA,Hawaii,Morning,N,Unprovoked
481,2014,AUSTRALIA,New South Wales,Evening,N,Provoked
482,2014,USA,Hawaii,Morning,N,Unprovoked
483,2014,USA,Hawaii,Morning,N,Unprovoked
484,2014,USA,California,,N,
